light_intensity	ts
2297461,000000	2020-11-19T14:35:30:344
2296220,000000	2020-11-19T14:35:30:384
2295490,000000	2020-11-19T14:35:30:425
2295604,000000	2020-11-19T14:35:30:464
2295371,000000	2020-11-19T14:35:30:505
2294992,000000	2020-11-19T14:35:30:544
2294876,000000	2020-11-19T14:35:30:590
2295845,000000	2020-11-19T14:35:30:624
2296066,000000	2020-11-19T14:35:30:665
2293656,000000	2020-11-19T14:35:30:704
2289857,000000	2020-11-19T14:35:30:745
2286115,000000	2020-11-19T14:35:30:784
2283742,000000	2020-11-19T14:35:30:825
2281150,000000	2020-11-19T14:35:30:865
2279740,000000	2020-11-19T14:35:30:905
2279007,000000	2020-11-19T14:35:30:944
2277790,000000	2020-11-19T14:35:30:986
2276258,000000	2020-11-19T14:35:31:024
2275316,000000	2020-11-19T14:35:31:066
2273381,000000	2020-11-19T14:35:31:104
2271069,000000	2020-11-19T14:35:31:145
2268889,000000	2020-11-19T14:35:31:185
2266508,000000	2020-11-19T14:35:31:225
2265419,000000	2020-11-19T14:35:31:265
2264358,000000	2020-11-19T14:35:31:305
2263770,000000	2020-11-19T14:35:31:345
2261617,000000	2020-11-19T14:35:31:386
2257022,000000	2020-11-19T14:35:31:425
2251393,000000	2020-11-19T14:35:31:466
2247487,000000	2020-11-19T14:35:31:505
2244720,000000	2020-11-19T14:35:31:545
2243254,000000	2020-11-19T14:35:31:585
2242722,000000	2020-11-19T14:35:31:626
2242544,000000	2020-11-19T14:35:31:665
2241658,000000	2020-11-19T14:35:31:706
2240581,000000	2020-11-19T14:35:31:745
2239848,000000	2020-11-19T14:35:31:786
2238758,000000	2020-11-19T14:35:31:825
2238093,000000	2020-11-19T14:35:31:867
2236884,000000	2020-11-19T14:35:31:905
2236976,000000	2020-11-19T14:35:31:947
2236625,000000	2020-11-19T14:35:31:985
2236630,000000	2020-11-19T14:35:32:026
2236586,000000	2020-11-19T14:35:32:066
2233742,000000	2020-11-19T14:35:32:107
2229578,000000	2020-11-19T14:35:32:145
2225260,000000	2020-11-19T14:35:32:186
2222963,000000	2020-11-19T14:35:32:226
2222290,000000	2020-11-19T14:35:32:267
2221844,000000	2020-11-19T14:35:32:305
2222076,000000	2020-11-19T14:35:32:346
2222249,000000	2020-11-19T14:35:32:385
2222659,000000	2020-11-19T14:35:32:427
2222615,000000	2020-11-19T14:35:32:466
2222626,000000	2020-11-19T14:35:32:507
2221780,000000	2020-11-19T14:35:32:546
2220980,000000	2020-11-19T14:35:32:587
2220083,000000	2020-11-19T14:35:32:626
2220257,000000	2020-11-19T14:35:32:667
2220269,000000	2020-11-19T14:35:32:706
2219557,000000	2020-11-19T14:35:32:747
2216599,000000	2020-11-19T14:35:32:788
2212180,000000	2020-11-19T14:35:32:827
2207979,000000	2020-11-19T14:35:32:866
2205280,000000	2020-11-19T14:35:32:907
2204211,000000	2020-11-19T14:35:32:947
2204367,000000	2020-11-19T14:35:32:987
2204926,000000	2020-11-19T14:35:33:026
2206686,000000	2020-11-19T14:35:33:067
2207917,000000	2020-11-19T14:35:33:106
2209315,000000	2020-11-19T14:35:33:147
2209747,000000	2020-11-19T14:35:33:187
2210158,000000	2020-11-19T14:35:33:227
2211702,000000	2020-11-19T14:35:33:266
2213168,000000	2020-11-19T14:35:33:308
2214361,000000	2020-11-19T14:35:33:347
2216709,000000	2020-11-19T14:35:33:387
2218942,000000	2020-11-19T14:35:33:427
2220068,000000	2020-11-19T14:35:33:468
2217932,000000	2020-11-19T14:35:33:507
2215808,000000	2020-11-19T14:35:33:548
2214725,000000	2020-11-19T14:35:33:591
2214149,000000	2020-11-19T14:35:33:627
2214250,000000	2020-11-19T14:35:33:667
2215470,000000	2020-11-19T14:35:33:707
2216875,000000	2020-11-19T14:35:33:747
2218372,000000	2020-11-19T14:35:33:788
2218672,000000	2020-11-19T14:35:33:827
2218625,000000	2020-11-19T14:35:33:868
2218480,000000	2020-11-19T14:35:33:907
2218960,000000	2020-11-19T14:35:33:948
2219409,000000	2020-11-19T14:35:33:987
2219337,000000	2020-11-19T14:35:34:030
2219263,000000	2020-11-19T14:35:34:068
2216921,000000	2020-11-19T14:35:34:109
2214680,000000	2020-11-19T14:35:34:148
2212230,000000	2020-11-19T14:35:34:188
2211754,000000	2020-11-19T14:35:34:227
2211384,000000	2020-11-19T14:35:34:269
2211990,000000	2020-11-19T14:35:34:307
2213360,000000	2020-11-19T14:35:34:348
2214595,000000	2020-11-19T14:35:34:388
2216313,000000	2020-11-19T14:35:34:429
2217087,000000	2020-11-19T14:35:34:468
2217425,000000	2020-11-19T14:35:34:509
2219051,000000	2020-11-19T14:35:34:548
2220736,000000	2020-11-19T14:35:34:589
2223461,000000	2020-11-19T14:35:34:628
2225804,000000	2020-11-19T14:35:34:669
2228238,000000	2020-11-19T14:35:34:708
2229024,000000	2020-11-19T14:35:34:749
2228191,000000	2020-11-19T14:35:34:788
2227224,000000	2020-11-19T14:35:34:829
2226378,000000	2020-11-19T14:35:34:869
2226566,000000	2020-11-19T14:35:34:909
2228523,000000	2020-11-19T14:35:34:948
2230680,000000	2020-11-19T14:35:34:989
2233550,000000	2020-11-19T14:35:35:028
2235438,000000	2020-11-19T14:35:35:070
2237088,000000	2020-11-19T14:35:35:109
2238744,000000	2020-11-19T14:35:35:149
2239310,000000	2020-11-19T14:35:35:188
2240820,000000	2020-11-19T14:35:35:229
2242342,000000	2020-11-19T14:35:35:269
2243815,000000	2020-11-19T14:35:35:309
2245023,000000	2020-11-19T14:35:35:349
2245003,000000	2020-11-19T14:35:35:389
2244259,000000	2020-11-19T14:35:35:429
2243773,000000	2020-11-19T14:35:35:470
2243873,000000	2020-11-19T14:35:35:509
2244713,000000	2020-11-19T14:35:35:550
2245615,000000	2020-11-19T14:35:35:591
2247780,000000	2020-11-19T14:35:35:629
2249512,000000	2020-11-19T14:35:35:669
2251346,000000	2020-11-19T14:35:35:710
2252770,000000	2020-11-19T14:35:35:749
2253928,000000	2020-11-19T14:35:35:790
2255287,000000	2020-11-19T14:35:35:829
2257054,000000	2020-11-19T14:35:35:870
2259271,000000	2020-11-19T14:35:35:910
2260944,000000	2020-11-19T14:35:35:950
2262265,000000	2020-11-19T14:35:35:989
2261487,000000	2020-11-19T14:35:36:030
2260006,000000	2020-11-19T14:35:36:069
2259346,000000	2020-11-19T14:35:36:110
2259133,000000	2020-11-19T14:35:36:149
2260189,000000	2020-11-19T14:35:36:190
2261356,000000	2020-11-19T14:35:36:230
2263111,000000	2020-11-19T14:35:36:271
2264205,000000	2020-11-19T14:35:36:310
2265440,000000	2020-11-19T14:35:36:351
2266533,000000	2020-11-19T14:35:36:390
2267672,000000	2020-11-19T14:35:36:431
2269278,000000	2020-11-19T14:35:36:470
2270401,000000	2020-11-19T14:35:36:511
2271478,000000	2020-11-19T14:35:36:550
2272337,000000	2020-11-19T14:35:36:591
2271668,000000	2020-11-19T14:35:36:630
2269742,000000	2020-11-19T14:35:36:671
2266841,000000	2020-11-19T14:35:36:710
2265285,000000	2020-11-19T14:35:36:751
2265310,000000	2020-11-19T14:35:36:790
2265358,000000	2020-11-19T14:35:36:831
2267160,000000	2020-11-19T14:35:36:871
2268189,000000	2020-11-19T14:35:36:911
2268873,000000	2020-11-19T14:35:36:950
2268325,000000	2020-11-19T14:35:36:991
2268472,000000	2020-11-19T14:35:37:031
2268645,000000	2020-11-19T14:35:37:072
2269896,000000	2020-11-19T14:35:37:110
2272828,000000	2020-11-19T14:35:37:151
2274931,000000	2020-11-19T14:35:37:190
2276492,000000	2020-11-19T14:35:37:231
2275601,000000	2020-11-19T14:35:37:271
2274789,000000	2020-11-19T14:35:37:311
2273983,000000	2020-11-19T14:35:37:351
2273125,000000	2020-11-19T14:35:37:392
2273302,000000	2020-11-19T14:35:37:431
2275280,000000	2020-11-19T14:35:37:472
2277531,000000	2020-11-19T14:35:37:511
2280090,000000	2020-11-19T14:35:37:552
2282487,000000	2020-11-19T14:35:37:591
2284514,000000	2020-11-19T14:35:37:632
2286526,000000	2020-11-19T14:35:37:671
2289510,000000	2020-11-19T14:35:37:712
2292548,000000	2020-11-19T14:35:37:751
2294483,000000	2020-11-19T14:35:37:793
2297004,000000	2020-11-19T14:35:37:831
2297694,000000	2020-11-19T14:35:37:872
2298046,000000	2020-11-19T14:35:37:911
2298436,000000	2020-11-19T14:35:37:952
2298962,000000	2020-11-19T14:35:37:991
2298539,000000	2020-11-19T14:35:38:032
2299016,000000	2020-11-19T14:35:38:073
2299802,000000	2020-11-19T14:35:38:172
2300877,000000	2020-11-19T14:35:38:175
2301851,000000	2020-11-19T14:35:38:337
2302635,000000	2020-11-19T14:35:38:338
2302316,000000	2020-11-19T14:35:38:339
2303119,000000	2020-11-19T14:35:38:343
2303426,000000	2020-11-19T14:35:38:355
2303946,000000	2020-11-19T14:35:38:389
2305260,000000	2020-11-19T14:35:38:430
2304057,000000	2020-11-19T14:35:38:472
2302176,000000	2020-11-19T14:35:38:512
2301438,000000	2020-11-19T14:35:38:552
2300913,000000	2020-11-19T14:35:38:592
2301445,000000	2020-11-19T14:35:38:643
2302223,000000	2020-11-19T14:35:38:674
2303986,000000	2020-11-19T14:35:38:710
2305569,000000	2020-11-19T14:35:38:752
2306219,000000	2020-11-19T14:35:38:792
2306580,000000	2020-11-19T14:35:38:833
2306378,000000	2020-11-19T14:35:38:872
2305683,000000	2020-11-19T14:35:38:913
2305295,000000	2020-11-19T14:35:38:953
2304848,000000	2020-11-19T14:35:38:993
2304420,000000	2020-11-19T14:35:39:032
2302263,000000	2020-11-19T14:35:39:073
2299910,000000	2020-11-19T14:35:39:112
2297648,000000	2020-11-19T14:35:39:153
2295933,000000	2020-11-19T14:35:39:192
2295997,000000	2020-11-19T14:35:39:233
2296249,000000	2020-11-19T14:35:39:273
2296342,000000	2020-11-19T14:35:39:313
2296088,000000	2020-11-19T14:35:39:353
2295494,000000	2020-11-19T14:35:39:393
2295813,000000	2020-11-19T14:35:39:433
2295658,000000	2020-11-19T14:35:39:473
2295536,000000	2020-11-19T14:35:39:512
2295841,000000	2020-11-19T14:35:39:554
2295782,000000	2020-11-19T14:35:39:592
2295889,000000	2020-11-19T14:35:39:633
2294119,000000	2020-11-19T14:35:39:673
2291081,000000	2020-11-19T14:35:39:713
2287826,000000	2020-11-19T14:35:39:752
2285925,000000	2020-11-19T14:35:39:794
2285126,000000	2020-11-19T14:35:39:833
2285045,000000	2020-11-19T14:35:39:874
2286102,000000	2020-11-19T14:35:39:914
2286056,000000	2020-11-19T14:35:39:954
2286710,000000	2020-11-19T14:35:39:993
2287559,000000	2020-11-19T14:35:40:034
2287941,000000	2020-11-19T14:35:40:073
2288191,000000	2020-11-19T14:35:40:114
2288354,000000	2020-11-19T14:35:40:153
2287913,000000	2020-11-19T14:35:40:194
2288579,000000	2020-11-19T14:35:40:233
2286625,000000	2020-11-19T14:35:40:274
2283701,000000	2020-11-19T14:35:40:313
2281250,000000	2020-11-19T14:35:40:354
2279526,000000	2020-11-19T14:35:40:394
2279044,000000	2020-11-19T14:35:40:434
2279334,000000	2020-11-19T14:35:40:473
2280119,000000	2020-11-19T14:35:40:515
2280871,000000	2020-11-19T14:35:40:554
2280656,000000	2020-11-19T14:35:40:596
2279668,000000	2020-11-19T14:35:40:635
2279771,000000	2020-11-19T14:35:40:675
2279629,000000	2020-11-19T14:35:40:714
2280014,000000	2020-11-19T14:35:40:755
2280148,000000	2020-11-19T14:35:40:794
2280116,000000	2020-11-19T14:35:40:835
2278822,000000	2020-11-19T14:35:40:874
2275105,000000	2020-11-19T14:35:40:915
2271737,000000	2020-11-19T14:35:40:953
2269085,000000	2020-11-19T14:35:40:995
2268236,000000	2020-11-19T14:35:41:034
2267954,000000	2020-11-19T14:35:41:075
2267948,000000	2020-11-19T14:35:41:114
2268369,000000	2020-11-19T14:35:41:155
2268035,000000	2020-11-19T14:35:41:194
2267989,000000	2020-11-19T14:35:41:235
2268448,000000	2020-11-19T14:35:41:274
2267877,000000	2020-11-19T14:35:41:315
2267403,000000	2020-11-19T14:35:41:355
2266479,000000	2020-11-19T14:35:41:395
2266146,000000	2020-11-19T14:35:41:434
2265337,000000	2020-11-19T14:35:41:478
2262756,000000	2020-11-19T14:35:41:514
2257878,000000	2020-11-19T14:35:41:555
2253257,000000	2020-11-19T14:35:41:595
2249437,000000	2020-11-19T14:35:41:635
2247403,000000	2020-11-19T14:35:41:675
2246531,000000	2020-11-19T14:35:41:716
2246284,000000	2020-11-19T14:35:41:755
