light_level	ts
40,000000	2020-10-29T19:50:36:970
36,000000	2020-10-29T19:50:37:212
40,000000	2020-10-29T19:50:37:452
40,000000	2020-10-29T19:50:37:692
16,000000	2020-10-29T19:50:37:931
20,000000	2020-10-29T19:50:38:172
24,000000	2020-10-29T19:50:38:412
32,000000	2020-10-29T19:50:38:653
44,000000	2020-10-29T19:50:38:893
60,000000	2020-10-29T19:50:39:132
64,000000	2020-10-29T19:50:39:374
64,000000	2020-10-29T19:50:39:614
72,000000	2020-10-29T19:50:39:854
44,000000	2020-10-29T19:50:40:095
20,000000	2020-10-29T19:50:40:335
28,000000	2020-10-29T19:50:40:575
28,000000	2020-10-29T19:50:40:815
32,000000	2020-10-29T19:50:41:056
36,000000	2020-10-29T19:50:41:296
28,000000	2020-10-29T19:50:41:535
32,000000	2020-10-29T19:50:41:776
16,000000	2020-10-29T19:50:42:016
20,000000	2020-10-29T19:50:42:257
20,000000	2020-10-29T19:50:42:496
28,000000	2020-10-29T19:50:42:737
16,000000	2020-10-29T19:50:42:977
20,000000	2020-10-29T19:50:43:218
24,000000	2020-10-29T19:50:43:458
20,000000	2020-10-29T19:50:43:697
12,000000	2020-10-29T19:50:43:938
12,000000	2020-10-29T19:50:44:179
12,000000	2020-10-29T19:50:44:419
12,000000	2020-10-29T19:50:44:659
12,000000	2020-10-29T19:50:44:898
8,000000	2020-10-29T19:50:45:138
8,000000	2020-10-29T19:50:45:380
8,000000	2020-10-29T19:50:45:619
4,000000	2020-10-29T19:50:45:859
4,000000	2020-10-29T19:50:46:100
16,000000	2020-10-29T19:50:46:340
20,000000	2020-10-29T19:50:46:579
24,000000	2020-10-29T19:50:46:820
20,000000	2020-10-29T19:50:47:060
20,000000	2020-10-29T19:50:47:301
16,000000	2020-10-29T19:50:47:542
16,000000	2020-10-29T19:50:47:782
12,000000	2020-10-29T19:50:48:022
16,000000	2020-10-29T19:50:48:263
20,000000	2020-10-29T19:50:48:525
16,000000	2020-10-29T19:50:48:743
16,000000	2020-10-29T19:50:48:983
16,000000	2020-10-29T19:50:49:223
20,000000	2020-10-29T19:50:49:464
48,000000	2020-10-29T19:50:49:704
