-18,66,7
-14,65,8
-14,64,9
-16,62,9
-16,62,9
-18,60,8
-16,63,8
-16,63,8
-15,63,8
-15,63,8
-15,62,9
-15,63,9
-14,62,8
-15,63,8
-15,63,8
-15,64,8
-15,63,7
-15,64,7
-14,64,7
-14,64,8
-14,63,8
-14,63,8
-13,62,8
-12,62,9
-12,62,9
-12,61,8
-12,61,9
-13,61,7
-15,62,6
-15,62,6
-19,60,7
-19,60,8
-20,61,10
-17,62,10
-15,62,10
-12,61,13
-12,62,12
-14,64,13
-15,62,14
-14,60,14
-12,60,12
-12,60,11
-13,61,9
-14,61,8
-13,62,9
-11,63,9
-11,62,7
-13,63,6
-14,64,6
-14,68,5
-13,72,8
-12,73,10
-9,69,14
-8,66,15
-4,66,17
-6,56,16
-6,56,15
-8,57,10
-10,57,8
-10,58,7
-8,65,6
-7,70,5
-3,70,5
-4,71,6
-3,72,9
-5,73,10
-5,72,12
0,70,13
1,68,13
2,64,13
3,62,13
4,60,13
2,60,12
1,60,12
1,61,12
0,61,12
0,61,12
-3,62,12
-3,62,12
-5,63,13
-6,64,14
-6,63,15
-5,63,15
-4,65,16
-5,64,17
-5,64,17
-6,62,18
-6,62,19
-6,61,18
-6,60,19
-6,60,19
-7,59,18
-8,59,17
-9,61,17
-9,66,16
-8,71,17
-6,84,16
-6,85,15
-6,79,12
-4,78,11
-4,76,11
-4,72,10
-5,69,9
-5,58,9
-5,54,9
-6,47,9
-7,45,7
-7,45,6
-9,49,0
-10,53,-3
-15,61,-4
-27,65,-8
-35,67,-13
-57,70,-11
-52,68,-10
-21,65,-3
-12,61,8
-16,64,15
-28,69,26
-26,68,28
-25,66,22
-19,64,20
-16,65,18
-15,65,18
-12,64,17
-14,61,14
-16,60,13
-23,61,8
-33,62,2
-34,62,-1
-31,66,-4
-33,73,-6
-35,77,-1
-37,65,1
-31,56,4
-23,49,8
-27,57,8
-37,61,10
-40,56,11
-40,57,13
-44,51,18
-43,45,18
-43,38,19
-44,36,24
-45,33,24
-48,34,29
-49,37,33
-48,33,34
-47,29,31
-46,30,32
-41,34,31
-39,36,27
-34,48,32
-30,51,32
-16,44,27
-10,42,33
-13,44,34
-13,49,33
-25,52,26
-16,56,41
-13,57,48
-13,61,49
-19,64,55
-24,65,57
-24,59,50
-28,60,52
-22,60,49
-25,55,54
-31,51,52
-30,36,47
-26,33,44
-6,36,59
-36,23,49
-20,21,51
-32,19,51
-29,17,49
-23,16,51
-23,15,52
-25,14,51
-21,17,57
-18,15,59
-20,18,65
-29,16,62
-28,13,56
-42,6,48
-37,-1,47
-27,-5,56
-32,-6,57
10,-12,74
-8,-14,70
-15,-17,57
12,-24,44
18,-7,46
-18,-3,61
2,-10,84
7,-16,69
-7,-18,45
-7,-18,44
-17,-14,54
-13,-16,62
-12,-17,61
-7,-23,55
1,-25,55
1,-16,57
-7,-12,59
-7,-12,59
-8,-14,68
-12,-15,65
-5,-12,71
-11,-13,67
-16,-13,63
-5,-14,66
-2,-14,67
-4,-12,67
-6,-13,69
-10,-13,66
-10,-14,67
-12,-15,64
-8,-5,74
-12,-4,73
-18,-3,63
-13,0,63
-11,1,65
-7,4,61
-14,3,58
-16,1,61
-26,2,59
-35,4,58
-27,2,62
-23,1,59
-29,-2,55
-26,-4,60
-19,0,63
-23,-2,61
-20,0,65
-16,2,67
-16,1,67
-11,-3,68
-8,-5,63
-11,-5,60
-17,-5,49
-23,-7,45
-33,-4,45
-52,8,54
-49,7,55
-53,3,50
-49,5,50
-50,4,50
-51,4,49
-53,7,47
-65,3,34
-64,1,28
-74,-4,2
-78,-7,-5
-86,-12,-20
-77,-16,-22
-67,-18,-24
-65,-22,-30
-56,-23,-29
-49,-22,-27
-45,-16,-21
